site_name,timestamp,wind_speed_forecast,wind_direction_forecast,temp_forecast,ghi_forecast,Cloud Description,forecast_cloud_index,forecast_cloud_type,forecast_method,site_client_name,site_status,site_lat,site_lon,ghi_actual,temp_actual,wind_speed_actual,wind_direction_actual,type
Site-11,2023-12-02 23:30:00,2.8370725603851983,48.461789531158864,15.582788085937523,0.0,,0.0,,wrf,Renew,Active,28.2909,73.3767,,,,,Solar
Site-10,2023-12-02 23:30:00,2.9937458014409004,41.68730155437025,17.989129638671898,0.0,,0.0,,wrf,Renew,Active,28.28,73.24,,,,,Solar
Site-9,2023-12-02 23:30:00,3.1410523688448246,27.263068971320305,18.283624267578148,0.0,,0.0,,wrf,Renew,Active,26.63,71.349,,,,,Solar
Site-5,2023-12-02 23:30:00,8.20024177380922,8.866728722029098,22.107720947265648,0.0,,0.0,,wrf,Renew,Active,14.247477,77.466657,,,,,Solar
Site-6,2023-12-02 23:30:00,3.140147917841268,23.99651930700643,16.140496826171898,0.0,,0.0,,wrf,Renew,Active,27.50111,71.93319,,,,,Solar
Site-12,2023-12-02 23:30:00,3.413288788231619,29.82614041551253,18.420098876953148,0.0,,0.0,,wrf,Renew,Active,26.66,71.2784,,,,,Solar
Site-7,2023-12-02 23:30:00,3.1410523688448246,27.263068971320305,18.283624267578148,0.0,,0.0,,wrf,Renew,Active,26.63,71.44,,,,,Solar
Site-8,2023-12-02 23:30:00,3.1410523688448246,27.263068971320305,18.283624267578148,0.0,,0.0,,wrf,Renew,Active,26.64,71.37,,,,,Solar
Site-10,2023-12-02 23:15:00,3.186853679878184,44.36872880022167,18.135766601562523,0.0,,0.0,,wrf,Renew,Active,28.28,73.24,,,,,Solar
Site-12,2023-12-02 23:15:00,3.4875766431255393,30.714963973235808,18.575830078125023,0.0,,0.0,,wrf,Renew,Active,26.66,71.2784,,,,,Solar
Site-9,2023-12-02 23:15:00,3.2627102195858195,26.729668133447436,18.448571777343773,0.0,,0.0,,wrf,Renew,Active,26.63,71.349,,,,,Solar
Site-8,2023-12-02 23:15:00,3.2627102195858195,26.729668133447436,18.448571777343773,0.0,,0.0,,wrf,Renew,Active,26.64,71.37,,,,,Solar
Site-7,2023-12-02 23:15:00,3.2627102195858195,26.729668133447436,18.448571777343773,0.0,,0.0,,wrf,Renew,Active,26.63,71.44,,,,,Solar
Site-11,2023-12-02 23:15:00,2.9055714789351956,50.56257094875555,15.734796142578148,0.0,,0.0,,wrf,Renew,Active,28.2909,73.3767,,,,,Solar
Site-5,2023-12-02 23:15:00,8.373509516391186,9.503877862103057,22.139947509765648,0.0,,0.0,,wrf,Renew,Active,14.247477,77.466657,,,,,Solar
Site-6,2023-12-02 23:15:00,3.2231968651660434,25.904016731592012,16.343194580078148,0.0,,0.0,,wrf,Renew,Active,27.50111,71.93319,,,,,Solar
Site-5,2023-12-02 23:00:00,8.640121252127475,9.699885257886205,22.185205078125023,0.0,,0.0,,wrf,Renew,Active,14.247477,77.466657,,,,,Solar
Site-10,2023-12-02 23:00:00,3.398055973779705,47.84594798011018,18.347131347656273,0.0,,0.0,,wrf,Renew,Active,28.28,73.24,,,,,Solar
Site-7,2023-12-02 23:00:00,3.4864561426075866,28.045313327252217,18.688592529296898,0.0,,0.0,,wrf,Renew,Active,26.63,71.44,,,,,Solar
Site-11,2023-12-02 23:00:00,2.9566854982804966,53.13369099054991,15.971826171875023,0.0,,0.0,,wrf,Renew,Active,28.2909,73.3767,,,,,Solar
Site-6,2023-12-02 23:00:00,3.2974138587881154,30.45962418354199,16.627496337890648,0.0,,0.0,,wrf,Renew,Active,27.50111,71.93319,,,,,Solar
Site-9,2023-12-02 23:00:00,3.4864561426075866,28.045313327252217,18.688592529296898,0.0,,0.0,,wrf,Renew,Active,26.63,71.349,,,,,Solar
Site-8,2023-12-02 23:00:00,3.4864561426075866,28.045313327252217,18.688592529296898,0.0,,0.0,,wrf,Renew,Active,26.64,71.37,,,,,Solar
